i,time,ay,h
400,456467.0,0.14999962,0.0
404,456503.0,0.0899992,0.0
408,456539.0,0.07999992,0.0
412,456575.0,0.18999958,0.0
416,456611.0,0.29999924,0.0
420,456647.0,0.43999958,0.0
424,456683.0,0.25,0.0
428,456719.0,0.15999985,0.0
432,456755.0,0.3899994,0.0
436,456791.0,0.10999966,0.0
440,456827.0,0.21999931,0.0
444,456863.0,0.14999962,0.0
448,456899.0,0.27999973,0.0
452,456935.0,0.15999985,0.0
456,456971.0,0.15999985,0.0
460,457007.0,0.14999962,0.0
464,457043.0,0.14999962,0.0
468,457079.0,0.22999954,0.0
472,457115.0,0.14999962,0.0
476,457151.0,0.18999958,0.0
480,457187.0,0.3199997,0.0
484,457223.0,0.30999947,0.0
488,457259.0,0.25999928,0.0
492,457295.0,0.13999939,0.0
496,457331.0,0.14999962,0.0
500,457367.0,0.10999966,0.0
504,457403.0,0.059999466,0.0
508,457439.0,0.07999992,0.0
512,457475.0,0.07999992,0.0
516,457511.0,-0.05000019,0.0
520,457547.0,-0.3600006,0.0
524,457583.0,-0.5600004,0.0
528,457619.0,-1.21,0.0
532,457655.0,-1.7200003,0.0
536,457678.0,-1.9300003,0.0
540,457714.0,-1.4800005,0.0
544,457750.0,-1.5900002,0.0
548,457786.0,-1.7300005,0.0
552,457822.0,-0.8100004,0.0
556,457858.0,-0.97000027,0.0
560,457894.0,-0.9000006,0.0
564,457930.0,-0.07000065,0.0
568,457966.0,-0.35000038,0.0
572,458002.0,0.8299999,0.0
576,458038.0,0.96000004,0.0
580,458074.0,1.6899996,0.0
584,458110.0,1.4499998,0.53
588,458130.0,1.5,0.0
592,458166.0,2.0899992,0.0
596,458202.0,1.4499998,0.0
600,458238.0,0.9199991,0.0
604,458274.0,0.65999985,0.0
608,458310.0,-0.05000019,0.0
612,458346.0,-0.35000038,0.0
616,458382.0,-0.49000072,0.0
620,458418.0,-0.44000053,0.0
624,458454.0,-0.78999996,0.0
628,458490.0,-0.95000076,0.0
632,458526.0,-0.6800003,0.0
636,458562.0,-0.7600002,0.0
640,458598.0,-0.8300009,0.0
644,458634.0,-0.78999996,0.0
648,458670.0,-0.82000065,0.0
652,458706.0,-0.77000046,0.0
656,458742.0,-0.64000034,0.0
660,458778.0,-0.5100002,0.0
664,458814.0,-0.70000076,0.0
668,458850.0,-0.77000046,0.0
672,458886.0,-0.84000015,0.0
676,458922.0,-1.04,0.0
680,458958.0,-0.7600002,0.0
684,458994.0,-0.8300009,0.0
688,459030.0,-1.3000002,0.0
692,459066.0,-0.6800003,0.0
696,459102.0,0.10999966,0.0
700,459138.0,0.8499994,0.0
704,459174.0,2.0099993,0.0
708,459210.0,4.87,0.0
712,459246.0,8.409999,0.0
716,459282.0,10.169999,0.0
720,459310.0,12.829999,0.0
724,459346.0,17.09,0.0
728,459382.0,12.56,0.0
732,459418.0,-2.4900002,0.0
736,459454.0,-8.14,0.0
740,459490.0,-14.02,0.0
744,459526.0,-9.93,0.0
748,459562.0,-10.04,0.0
752,459598.0,-12.08,0.0
756,459634.0,-9.97,0.0
760,459652.0,-9.08,0.0
764,459688.0,-9.71,0.0
768,459724.0,-9.79,0.0
772,459760.0,-10.05,0.0
776,459796.0,-8.68,0.0
780,459832.0,-9.2300005,0.0
784,459868.0,-9.570001,0.0
788,459904.0,-11.51,0.0
792,459940.0,-3.7300005,0.0
796,459967.0,2.1099997,0.0
800,460003.0,5.0,0.0
804,460039.0,17.75,0.0
808,460075.0,8.849999,0.0
812,460111.0,10.899999,0.0
816,460147.0,8.099999,0.0
820,460183.0,8.929999,0.0
824,460219.0,7.7300005,0.0
828,460255.0,5.169999,0.0
832,460291.0,3.54,0.0
836,460327.0,1.1399994,0.0
840,460363.0,-0.7300005,0.0
844,460399.0,-2.4400005,0.0
848,460435.0,-3.0900006,0.0
852,460471.0,-2.6000004,0.0
856,460507.0,-2.9300003,0.0
860,460543.0,-2.3900003,0.0
864,460579.0,-1.7000008,0.0
868,460615.0,-1.0900002,0.0
872,460651.0,-0.37000084,0.0
876,460687.0,-0.8000002,0.0
880,460723.0,-1.29,0.0
